Tanggal,Meninggal (Indonesia),Sembuh (Indonesia),Dirawat (Indonesia),Positif (Indonesia),Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Meninggal Harian (Indonesia),Sembuh Harian (Indonesia),Dirawat Harian (Indonesia),Positif Harian (Indonesia),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta),,,,,
11/21/2020,15774,413955,63579,493308,2515,114863,5323,3121,125822,8444,96,3403,1499,4998,14,1124,707,-266,1579,441,,,,,
11/22/2020,15884,418188,63596,497668,2531,115939,5529,3165,127164,8694,110,4233,17,4360,16,1076,206,44,1342,250,,,,,
11/23/2020,16002,422386,63722,502110,2548,117003,5592,3030,128173,8622,118,4198,126,4442,17,1064,63,-135,1009,-72,,,,,
11/24/2020,16111,425313,64878,506302,2567,118062,5518,3041,129188,8559,109,2927,1156,4192,19,1059,-74,11,1015,-63,,,,,
11/25/2020,16225,429807,65804,511836,2584,119099,6000,2778,130461,8778,114,4494,926,5534,17,1037,482,-263,1273,219,,,,,
11/26/2020,16352,433649,66752,516753,2597,120287,5876,2765,131525,8641,127,3842,948,4917,13,1188,-124,-13,1064,-137,,,,,
11/27/2020,16521,437456,68604,522581,2614,121082,6653,2612,132961,9265,169,3807,1852,5828,17,795,777,-153,1436,624,,,,,
11/28/2020,16646,441983,69370,527999,2632,122328,6921,2450,134331,9371,125,4527,766,5418,18,1246,268,-162,1370,106,,,,,
11/29/2020,16815,445793,71658,534266,2652,123163,7608,2339,135762,9947,169,3810,2288,6267,20,835,687,-111,1431,576,,,,,
11/30/2020,16945,450518,71420,538883,2671,124078,7823,2289,136861,10112,130,4725,-238,4617,19,915,215,-50,1099,165,,,,,
12/1/2020,17081,454879,72015,543975,2689,125102,7937,2191,137919,10128,136,4361,595,5092,18,1024,114,-98,1058,16,,,,,
12/2/2020,17199,458880,73429,549508,2710,126163,8202,2010,139085,10212,118,4001,1414,5533,21,1061,265,-181,1166,84,,,,,
12/3/2020,17355,462553,77969,557877,2734,127136,8155,2213,140238,10368,156,3673,4540,8369,24,973,-47,203,1153,156,,,,,
12/4/2020,17479,466178,80023,563680,2757,128051,8073,2389,141270,10462,124,3625,2054,5803,23,915,-82,176,1032,94,,,,,
12/5/2020,17589,470449,81669,569707,2779,129067,8623,2161,142630,10784,110,4271,1646,6027,22,1016,550,-228,1360,322,,,,,
12/6/2020,17740,474771,83285,575796,2799,130136,8819,2207,143961,11026,151,4322,1616,6089,20,1069,196,46,1331,242,,,,,
12/7/2020,17867,479202,84481,581550,2823,131071,9473,2060,145427,11533,127,4431,1196,5754,24,935,654,-147,1466,507,,,,,
12/8/2020,18000,483497,85345,586842,2842,132248,9650,1861,146601,11511,133,4295,864,5292,19,1177,177,-199,1174,-22,,,,,
12/9/2020,18171,487445,87284,592900,2860,133318,9703,1957,147838,11660,171,3948,1939,6058,18,1070,53,96,1237,149,,,,,
12/10/2020,18336,491975,88622,598933,2880,134366,9391,2381,149018,11772,165,4530,1338,6033,20,1048,-312,424,1180,112,,,,,
12/11/2020,18511,496886,89846,605243,2902,135545,9078,2725,150250,11803,175,4911,1224,6310,22,1179,-313,344,1232,31,,,,,
12/12/2020,18653,501376,91602,611631,2922,136489,8822,2968,151201,11790,142,4490,1756,6388,20,944,-256,243,951,-13,,,,,
12/13/2020,18819,505836,93165,617820,2941,137605,8679,3274,152499,11953,166,4460,1563,6189,19,1116,-143,306,1298,163,,,,,
12/14/2020,18956,510957,93396,623309,2963,138988,8994,3120,154065,12114,137,5121,231,5489,22,1383,315,-154,1566,161,,,,,
12/15/2020,19111,516656,93662,629429,2990,140225,8643,3264,155122,11907,155,5699,266,6120,27,1237,-351,144,1057,-207,,,,,
12/16/2020,19248,521984,94922,636154,3010,141365,8263,3705,156343,11968,137,5328,1260,6725,20,1140,-380,441,1221,61,,,,,
12/17/2020,19390,526979,97139,643508,3027,142741,7851,4414,158033,12265,142,4995,2217,7354,17,1376,-412,709,1690,297,,,,,
12/18/2020,19514,531995,98688,650197,3048,143959,7673,4940,159620,12613,124,5016,1549,6689,21,1218,-178,526,1587,348,,,,,
12/19/2020,19659,536260,102029,657948,3068,145066,8112,5273,161519,13385,145,4265,3341,7751,20,1107,439,333,1899,772,,,,,
12/20/2020,19880,541811,103239,664930,3087,146958,8057,5009,163111,13066,221,5551,1210,6982,19,1892,-55,-264,1592,-319,,,,,
12/21/2020,20085,546884,104809,671778,3097,148308,8366,4806,164577,13172,205,5073,1570,6848,10,1350,309,-203,1466,106,,,,,
12/22/2020,20257,552722,105146,678125,3115,149691,8620,4462,165888,13082,172,5838,337,6347,18,1383,254,-344,1311,-90,,,,,
12/23/2020,20408,558703,106528,685639,3130,151122,8643,4947,167842,13590,151,5981,1382,7514,15,1431,23,485,1954,508,,,,,
12/24/2020,20589,563980,108269,692838,3146,152491,8833,5305,169775,14138,181,5277,1741,7199,16,1369,190,358,1933,548,,,,,
12/25/2020,20847,570304,108946,700097,3167,154242,8720,5742,171871,14462,258,6324,677,7259,21,1751,-113,437,2096,324,,,,,
12/26/2020,20994,576693,109150,706837,3182,156798,9439,4510,173929,13949,147,6389,204,6740,15,2556,719,-1232,2058,-513,,,,,
12/27/2020,21237,583676,108452,713365,3204,158615,9655,4452,175926,14107,243,6983,-698,6528,22,1817,216,-58,1997,158,,,,,
12/28/2020,21452,589978,107789,719219,3226,159878,9919,4581,177604,14500,215,6302,-663,5854,22,1263,264,129,1678,393,,,,,
12/29/2020,21703,596783,108636,727122,3246,161337,10018,5059,179660,15077,251,6805,847,7903,20,1459,99,478,2056,577,,,,,
12/30/2020,21944,603741,109439,735124,3266,162911,9882,5654,181713,15536,241,6958,803,8002,20,1574,-136,595,2053,459,,,,,
12/31/2020,22138,611097,109963,743198,3287,164881,9746,5821,183735,15567,194,7356,524,8074,21,1970,-136,167,2022,31,,,,,
